Sys_time,laccx,y,z,lacc_accu,grax,y,z,gra_accu,gyrx,y,z,gyr_accu,accx,y,z,acc_accu,magx,y,z,mag_accu,ori,rv_x,rv_y,rv_z,rv_s,rv_head_acc,rv_accu,gamerv_x,gamerv_y,gamerv_z,gamerv_s,gamerv_accu,lon,lat,speed,bearing,gps_time,step
1649405374352,0.1254,-0.1064,2.6301,3.00,-0.6950,0.6299,9.7617,3.00,-0.0915,-0.2008,0.0843,3.00,-0.6913,0.6919,12.4026,3.00,8.1374,27.6940,-46.9700,3.00,349.6868,0.0478,-0.0152,-0.9147,0.4011,0.00,3.00,-0.0013,0.0479,0.6899,0.7223,3.00,116.332199,39.950713,0.2300,359.0000,1649405374000,0.0
1649405374372,0.1254,-0.1064,2.6301,3.00,-0.6950,0.6299,9.7617,3.00,-0.0915,-0.2008,0.0843,3.00,-0.6913,0.6919,12.4026,3.00,8.4424,27.7916,-46.8358,3.00,349.1483,0.0478,-0.0152,-0.9147,0.4011,0.00,3.00,-0.0013,0.0479,0.6899,0.7223,3.00,116.332199,39.950713,0.2300,359.0000,1649405374000,0.0
1649405374392,-0.5612,-0.0036,2.3129,3.00,-0.5862,0.6787,9.7656,3.00,0.1865,-0.2772,0.1118,3.00,-1.4813,0.5614,11.7335,3.00,8.7230,27.9380,-46.8114,3.00,354.7132,0.0431,-0.0168,-0.9149,0.4010,0.00,3.00,0.0043,0.0456,0.6911,0.7213,3.00,116.332199,39.950713,0.2300,359.0000,1649405374000,0.0
1649405374412,-0.9429,-0.1857,1.9412,3.00,-0.5369,0.7449,9.7636,3.00,0.3300,-0.2558,0.1491,3.00,-1.7375,0.4980,11.5431,3.00,8.9182,27.9990,-46.7992,3.00,356.4659,0.0413,-0.0197,-0.9150,0.4009,0.00,3.00,0.0043,0.0456,0.6911,0.7213,3.00,116.332199,39.950713,0.2300,359.0000,1649405374000,0.0
1649405374431,-0.9429,-0.1857,1.9412,3.00,-0.5369,0.7449,9.7636,3.00,0.3300,-0.2558,0.1491,3.00,-1.7375,0.4980,11.5431,3.00,8.9182,27.8648,-46.8724,3.00,356.4713,0.0413,-0.0197,-0.9150,0.4009,0.00,3.00,0.0084,0.0461,0.6918,0.7206,3.00,116.332199,39.950713,0.2300,359.0000,1649405374000,0.0
1649405374451,-1.2678,-0.3521,1.7468,3.00,-0.4679,0.8468,9.7588,3.00,0.5121,-0.3603,0.1619,3.00,-1.8273,0.4309,10.9745,3.00,8.7596,27.6940,-46.9456,3.00,358.1952,0.0404,-0.0238,-0.9149,0.4010,0.00,3.00,0.0146,0.0472,0.6928,0.7195,3.00,116.332199,39.950713,0.2300,359.0000,1649405374000,0.0
1649405374470,-1.4647,-0.5501,1.1799,3.00,-0.3610,0.9767,9.7512,3.00,0.6574,-0.5545,0.1527,3.00,-1.7303,0.6356,10.0816,3.00,8.5400,27.4744,-47.0554,3.00,359.1384,0.0392,-0.0300,-0.9148,0.4008,0.00,3.00,0.0231,0.0479,0.6937,0.7183,3.00,116.332199,39.950713,0.2300,359.0000,1649405374000,0.0
1649405374490,-1.4831,-0.4788,0.2962,3.00,-0.2461,1.1094,9.7406,3.00,0.6697,-0.5912,0.1765,3.00,-1.6872,0.7290,9.2580,3.00,8.5400,27.4744,-47.0554,3.00,0.0648,0.0369,-0.0383,-0.9149,0.4001,0.00,3.00,0.0320,0.0484,0.6943,0.7173,3.00,116.332199,39.950713,0.2300,359.0000,1649405374000,0.0
1649405374509,-1.5424,-0.4950,-0.5135,3.00,-0.1442,1.2188,9.7296,3.00,0.5530,-0.5209,0.2248,3.00,-1.5747,0.6500,8.6714,3.00,8.0154,26.9010,-47.5800,3.00,1.1598,0.0342,-0.0469,-0.9150,0.3992,0.00,3.00,0.0395,0.0486,0.6951,0.7162,3.00,116.332199,39.950713,0.2300,359.0000,1649405374000,0.0
1649405374528,-1.5006,-0.6388,-1.0867,3.00,-0.0739,1.2841,9.7219,3.00,0.3361,-0.3578,0.2468,3.00,-1.3616,0.5854,8.6331,3.00,7.6982,26.4496,-47.8850,3.00,359.7219,0.0316,-0.0541,-0.9150,0.3984,0.00,3.00,0.0444,0.0485,0.6962,0.7148,3.00,116.332199,39.950713,0.2300,359.0000,1649405374000,0.0
1649405374548,-1.3332,-0.7339,-1.1151,3.00,-0.0284,1.3151,9.7180,3.00,0.1688,-0.2314,0.2230,3.00,-1.2372,0.5195,8.9791,3.00,7.3810,25.9494,-48.0924,3.00,358.5072,0.0297,-0.0586,-0.9149,0.3984,0.00,3.00,0.0470,0.0480,0.6977,0.7133,3.00,116.332199,39.950713,0.2300,359.0000,1649405374000,0.0
1649405374567,-1.2556,-0.8212,-0.7618,3.00,0.0184,1.3371,9.7150,3.00,0.1278,-0.2430,0.1655,3.00,-1.2276,0.5638,8.9408,3.00,7.1004,25.5956,-48.3486,3.00,359.0827,0.0281,-0.0610,-0.9148,0.3982,0.00,3.00,0.0494,0.0472,0.6991,0.7117,3.00,116.332199,39.950713,0.2300,359.0000,1649405374000,0.0
