Sys_time,laccx,y,z,lacc_accu,grax,y,z,gra_accu,gyrx,y,z,gyr_accu,accx,y,z,acc_accu,magx,y,z,mag_accu,ori,rv_x,rv_y,rv_z,rv_s,rv_head_acc,rv_accu,gamerv_x,gamerv_y,gamerv_z,gamerv_s,gamerv_accu,lon,lat,speed,bearing,gps_time,step
1649405122340,0.4378,-0.3872,0.0447,3.00,-0.4083,0.6888,9.7739,3.00,0.1816,-0.2479,-0.0922,3.00,-0.2639,0.5662,8.9168,3.00,0.8418,27.6940,-46.5552,3.00,1.0040,0.0353,-0.0206,-0.9076,0.4178,0.00,3.00,0.0355,0.0202,-0.0188,0.9990,3.00,116.331995,39.951334,0.3500,344.3000,1649405122000,0.0
1649405122359,0.0796,-0.1482,-0.8877,3.00,-0.3425,0.7122,9.7748,3.00,0.1217,-0.3322,-0.0843,3.00,-0.2843,0.7745,8.2393,3.00,0.8418,27.6940,-46.5552,3.00,1.3711,0.0337,-0.0231,-0.9065,0.4201,0.00,3.00,0.0367,0.0168,-0.0199,0.9990,3.00,116.331995,39.951334,0.3500,344.3000,1649405122000,0.0
1649405122379,-0.0090,0.0472,-1.5587,3.00,-0.2747,0.7256,9.7759,3.00,0.0649,-0.3438,-0.0690,3.00,0.1921,1.6435,8.6367,3.00,0.7320,27.6330,-46.5674,3.00,357.1771,0.0312,-0.0256,-0.9058,0.4218,0.00,3.00,0.0373,0.0132,-0.0209,0.9990,3.00,116.331995,39.951334,0.3500,344.3000,1649405122000,0.0
1649405122398,-0.0090,0.0472,-1.5587,3.00,-0.2747,0.7256,9.7759,3.00,0.0649,-0.3438,-0.0690,3.00,0.1921,1.6435,8.6367,3.00,0.5734,27.5598,-46.6040,3.00,357.4240,0.0312,-0.0256,-0.9058,0.4218,0.00,3.00,0.0373,0.0132,-0.0209,0.9990,3.00,116.331995,39.951334,0.3500,344.3000,1649405122000,0.0
1649405122417,0.4260,0.8986,-1.1555,3.00,-0.2335,0.7437,9.7756,3.00,0.0857,-0.2534,-0.0018,3.00,-0.2819,1.6723,8.8618,3.00,0.4026,27.4866,-46.7016,3.00,1.7385,0.0284,-0.0276,-0.9051,0.4234,0.00,3.00,0.0382,0.0111,-0.0217,0.9990,3.00,116.331995,39.951334,0.3500,344.3000,1649405122000,0.0
1649405122437,-0.0985,0.9056,-0.9255,3.00,-0.1832,0.7658,9.7750,3.00,0.0857,-0.2534,-0.0018,3.00,-0.0832,1.5933,8.3626,3.00,0.1586,27.4134,-46.7992,3.00,0.4928,0.0269,-0.0293,-0.9044,0.4248,0.00,3.00,0.0393,0.0085,-0.0224,0.9989,3.00,116.331995,39.951334,0.3500,344.3000,1649405122000,0.0
1649405122456,0.0504,0.8284,-1.4189,3.00,-0.1335,0.7644,9.7759,3.00,-0.0304,-0.2442,0.0263,3.00,0.1718,1.5418,8.6726,3.00,-0.0488,27.3280,-46.8358,3.00,358.5660,0.0251,-0.0313,-0.9036,0.4265,0.00,3.00,0.0391,0.0059,-0.0225,0.9990,3.00,116.331995,39.951334,0.3500,344.3000,1649405122000,0.0
1649405122475,0.3053,0.7940,-1.1049,3.00,-0.1335,0.7478,9.7772,3.00,-0.1055,0.0130,0.0745,3.00,0.5860,1.3946,8.8534,3.00,-0.2562,27.2914,-46.7382,3.00,355.2686,0.0229,-0.0323,-0.9026,0.4288,0.00,3.00,0.0383,0.0060,-0.0224,0.9990,3.00,116.331995,39.951334,0.3500,344.3000,1649405122000,0.0
1649405122495,0.7341,0.6587,-0.9204,3.00,-0.1482,0.7362,9.7779,3.00,-0.0768,0.0961,0.0654,3.00,0.4172,1.4855,9.2197,3.00,-0.4392,27.2304,-46.7870,3.00,357.2036,0.0226,-0.0315,-0.9010,0.4320,0.00,3.00,0.0377,0.0067,-0.0216,0.9990,3.00,116.331995,39.951334,0.3500,344.3000,1649405122000,0.0
1649405122514,0.5912,0.7375,-0.5502,3.00,-0.1741,0.7486,9.7765,3.00,0.0411,0.1486,0.0690,3.00,0.1706,1.7980,9.3130,3.00,-0.5490,27.2304,-46.9090,3.00,359.5013,0.0232,-0.0305,-0.8993,0.4356,0.00,3.00,0.0384,0.0081,-0.0209,0.9990,3.00,116.331995,39.951334,0.3500,344.3000,1649405122000,0.0
1649405122534,0.3808,1.0352,-0.4531,3.00,-0.2104,0.7635,9.7746,3.00,0.0466,0.1932,0.0421,3.00,0.2975,1.6543,8.7073,3.00,-0.5734,27.2670,-46.9578,3.00,358.3399,0.0248,-0.0304,-0.8976,0.4391,0.00,3.00,0.0392,0.0100,-0.0201,0.9990,3.00,116.331995,39.951334,0.3500,344.3000,1649405122000,0.0
1649405122553,0.4872,0.9086,-1.0555,3.00,-0.1900,0.7468,9.7763,3.00,-0.1104,-0.0799,0.1295,3.00,-0.0557,1.4472,8.4200,3.00,-0.5612,27.2792,-46.9456,3.00,1.4331,0.0268,-0.0302,-0.8963,0.4415,0.00,3.00,0.0383,0.0089,-0.0196,0.9990,3.00,116.331995,39.951334,0.3500,344.3000,1649405122000,0.0
1649405122572,0.1126,0.7094,-1.3373,3.00,-0.1686,0.7393,9.7773,3.00,-0.0634,-0.0793,0.3299,3.00,-1.2467,2.2301,10.3030,3.00,-0.4880,27.3402,-46.8968,3.00,9.5158,0.0256,-0.0298,-0.8948,0.4447,0.00,3.00,0.0379,0.0079,-0.0183,0.9991,3.00,116.331995,39.951334,0.3500,344.3000,1649405122000,0.0
1649405122592,-1.0595,1.4519,0.5457,3.00,-0.1876,0.7795,9.7738,3.00,0.1590,0.0936,0.3329,3.00,0.0233,1.7872,11.0164,3.00,-0.3904,27.3280,-46.8602,3.00,0.4837,0.0247,-0.0298,-0.8924,0.4496,0.00,3.00,0.0399,0.0090,-0.0149,0.9991,3.00,116.331995,39.951334,0.3500,344.3000,1649405122000,0.0
